altaværing;5403
alvdøl;3428
vetlelvdøl;3428
andværing;1871
aremarking;3012
arendalitt;4023
askerbøring;3025
askvolling;4645
askøyværing;4627
gossing;1547
aurgjelding;1576
aurlending;4641
aurskoging;3026
hølending;3026
austevolling;4625
austrheiming;4632
averøying;1554
arabar/-er;1106
balsfjording;5422
bam(b)ling;3813
bemling;3813
bemling;3813
bardudøl;5416
beiarværing;1839
bergensar/-er;4601
berlevåging;5440
bindaling;1811
birkenesing;4216
bjerkreimsbu;1114
bodøværing;1804
boknar/-er;1145
bremangar/-er;4648
brønnøyfjerding;1813
brønnøyværing;1813
byglending;4220
byklar/-er;4222
bæring;3024
bøfjerding;1867
bømling;4613
båtsfjording;5443
tanaværing;5441
tjeldsunding;5412
dovring;3431
drammensar/-er;3005
drangedøl;3815
dyrøyværing;5420
dønnværing;1827
eigersundar/-er;1101
eidfjøre;4619
eidskoging;3416
eidsvolling;3035
farsundar/-er;4206
fausk(e)væring;1841
elverumsing;3420
elverumsokning;3420
enebakking;3028
engerdøl;3425
etne(s)bu;4611
dalsfjording;4646
etnedøl;3450 
evdøl;4219
evenesværing;1853
fedjing;4633
fitjabu;4615
fjalerbu;4646
flakstadfjerding;1859
flatangring;5049
flekkefjæring;4207
flesberging;3050
fløværing;3039
folldøl;3429
fredrikstadmann/-kvinne;3004
freksting;3004
frognsokning;3022
frolending;4214
frosting;5036
frøyværing;5014
fyresdøl;3823
gamviking;5439
gamvikværing;5439
gauldaling;5027
gauldøl;5027
gausdøl;3441
gildeskålfjerding;1838
gildeskålværing;1838
gjemnesing;1557
gjermsokning;3032
gjersdøl(ing);4211
gjesdalbu;1122
gjøvikensar/-er;3407
gloppar/-er;4650
goling;3041
gran(a)sokning;3446
graneværing;1825
gratangsværing;5414
grimstadmann/-kvinne/-folk;4202
grusokning;3417
guling;4635
hadselværing;1866
haldensar/-er;3001
hamarensar/-er;3403
hamarsing;3403
hamarøying;1875
hamarøyværing;1875
hammerfesting;5406
hareiding;1517
harstadværing;5402
hasvikværing;5433
haugesundar/-er;1106
heimsbygg;5055
hemnesværing;1832
hemsedøl;3042
herøyfjerding;1818
herøyværing;1515
hitraværing;5056
hitterværing;5056
hjartdøl;3819
hjelmelandsbu;1133
holeværing;3038
holing;3044
holmestranding;3802
holtåling;5026
horndøl;4219
hortensar/-er;3801
hurdaling;3037
hurdøling;3037
hvalersokning;3011
hyllestadsokning;4637
høyang(e)ring;4638
hålling;5046
ibestadværing;5413
inderøyning;5053
ivelending;4218
jevnakersokning;3053
karasjoking;5437
karlsøyværing;5423
karmøybu;1149
kartabu;1149
kautokeinoværing;5430 
kleppsbu;1120
kongsbergensar/-er;3006
kristiansandar/-er;4204
kristiansundar/-er;1505
kristiansunding;1505
krylling;3046
kvemming;4622
kvindøl;4227
kvinnhering;4617
kvitseiding;3821
kvitsøybu;1144
kvæfjerding;5411
kvænangsværing;5429
larvikar/-er;3805
larviking;3805
lavangsværing;5415
leirfjording;1822
lekværing;5052
lesjavær;3432
lesjing;3432
levangsbygg;5037
libygg;5042
lillehamring;3405
lillesandar/-er;4215
lillestrømling;3030
liung;3049
lomvær;3434
loppværing;5432
lunbying;3054
lunddøl;1112
lurøyværing;1834
lustring;4644
lynbying;3054
lyngdøl;4225
lyngsfjerding;5424
lyngsværing;5424
lynnersokning;3054
lærdøl;4642
lødingsværing;1851
lørenskoging;3029
løtensokning;3412
malvikbygg;5031
marking;3013
masfjording;4634
melhusbygg;5028
meløyfjerding;1837
meråkerbygg;5034
mjøndøling;3005
modaling;4629
modøl;4629
moldensar/-er;1506
moskenesfjerding;1874
mossing;3002
målselvdøl;5418
målselving;5418
måsøying;5434
måsøyværing;5434
namsosing;5007
nannestadsokning;3036
narviking;1806
narvikværing;1806
nesbu;3034
nesnaværing;1828
nesning;1828
nesning;3040
nesodding;3023
nissedøl;3822
nittedøl(ing);3031
nordaurdøl;3451
nordreisværing;5428
nordrelending;3448
notodding;3808
oppdaling;5021
orkdaling;5059
osing;5020
osing;3430
osloensar/-er;0301
oslokvinne/oslomann;0301
ostring;4630
overhallning;5047
porsang(er)væring;5436
porsgrunnsmann/-kvinne/-folk;3806
porsgrunning;3806
raksting;3016
randabergsbu;1127
ranværing;1833
raumaværing;1539
rendøl;3424
rennbygg;5022
rindaling;5061
ringbygging;3439
ringeriking;3007
ringsaksokning;3411
risøring;4201
ræling;3027
rødøyfjerding;1836
rølling;3051
rørosing;5025
røstværing;1856
rådesokning;3017
salangsværing;5417
saltdaling;1840
samning;4623
sandefjording;3804
sandeværing;1514
sandnesbu;1108
sandnesgauk;1108
sandssokning;1514
sarping;3003
saudabu;1135
selbygg;1135
seljording;3820
selvær;3437
senjaværing/senjeværing;5421
siddis;1103
sigdøl(ing);3045
sirabu;1151
sirdøl;4228
skauning;5029
skiensmann/-kvinne/-folk;3807
skjervøyværing;5427
skjetving;3015
skjåkvær;3433
smølværing;1573
snåsning;5041
sogndøl;4640
sokndøling;1111
solabu;1124
sortlandssunding;1870
sortlending;1870
stangesokning;3413
steigværing;1848
steinkjerbygg;5006
stjørdaling;5035
stordabu;4614
storelvdøl;3423
strand(a)bu;1130
strandar/-er;1525
stryning;4651
sulalending;1531
suldøl;1134
suling;4636
sunndaling;1563
surndaling;1566
sveibu;4612
sykkylving;1528
sømnværing;1812
søndrelending;3447
søraurdøl;3449
sørfoldværing;1845
sørreisværing;5419
timebu;1121
tingvollgjelding;1560
tinndøl;3818
tolging;3426
tromsøværing;5401
trondheimar/-er;5001
trondhjemmar/-er;5001
trysling;3421
trænværing;1835
tydaling;5033
tynseting;3427
tysnesing;4616
tysværbu;1146
tønsbergensar/-er;3803
ullsokning;3033
ulsteining;1516
ulviking;4620
ulvikje;4620
uvdøl;3052
vadsøværing;5405
vagvær;3435
vaksdaling;4628
vaksdøl;4628
valldøl;4221
vangsgjelding;3454
vanylving;1511
varangværing;5444
vardøværing;5404
vefsning;1824
vefsnværing;1824
vegværing;1815
vegårsheiing;4212
venndøl;4223
verdaling;5038
vesser;4621
vestbysokning;3019
vestnesing;1535
vestreslidring;3452
vestretotning;3443
vevelstadværing;1816
vikja;4639
vikje;4639
vinbygg;3825
vinbygge;3825
vinbyggje;3825
volding;1577
voss;4621
vosse;4621
vossing;4621
værøyværing;1857
vågaværing;1865
vål(er)sokning;3419
vålersokning;3018
vårøyværing;5404
ørlending;5057
ørsting;1520
østretotning;3442
øygarding;4626
øystreslidring;3453
øyværing;3440
åfjording;5058
ålesundar/-er;1507
ålesunding;1507
åling;3043
åmling;4217
åmoting;3422
årdøl;4643
åsdøl;4224
åsnessokning;3418
åssokning;3021